ft_cosine_claim_reviewed,ft_cosine_claim_summary,ft_cosine_claim_meta_desc,ft_token_overlap,ft_shared_named_entities,ft_has_negation,ft_has_negation_reviewed,ft_keyword_overlap_kb,ft_keyword_overlap_meta,ft_domain_match,ft_lang_match,ft_has_image,ft_has_video,ft_text_len_summary,ft_text_len_meta,ft_title_match_ratio,ft_contr_nli_claim_reviewed,ft_contr_nli_claim_summary,ft_contr_nli_claim_meta_desc,similarity
0.961126983165741,0.8664976358413696,0.8574053049087524,0.3749997656251465,0,0,0,0,0,1,1,1,0,139,46,0.8928571428571429,4.306336e-05,0.007725428,0.99968886,1
0.9193500876426697,0.8402476906776428,0.8083896636962891,0.30769207100609924,0,0,0,0,0,1,1,1,0,108,16,0.4657534246575342,3.0286748e-05,5.4277592e-05,0.047550227,1
0.9283206462860107,0.8532201051712036,0.8608142137527466,0.1818180991735913,0,0,1,0,0,1,0,1,0,118,56,0.4936708860759494,1.5388237e-05,0.0030004634,0.017027484,1
0.8700112700462341,0.8490334749221802,0.8691524267196655,0.04545452479339782,0,0,0,0,0,1,0,1,0,96,20,0.3857142857142857,9.4309675e-05,9.292953e-05,2.331127e-05,1
0.8993855714797974,0.8330953121185303,0.8534068465232849,0.04166664930556279,0,0,0,0,0,1,0,1,0,95,50,0.5411764705882354,6.2222557e-06,0.00055312103,0.003367023,1
0.9344326257705688,0.8744950294494629,0.8817114233970642,0.36842085872586383,0,0,0,0,0,1,1,1,0,80,51,0.5454545454545454,1.1882008e-05,0.00047030812,0.00047762468,1
0.9090848565101624,0.8803248405456543,0.8950682282447815,0.32142845663269404,0,0,0,0,0,1,1,1,0,114,51,0.55,0.0003944465,0.00030383494,0.000138477,1
0.8793405890464783,0.8294868469238281,0.8367851376533508,0.0799999680000128,2,0,0,0,0,1,0,1,0,62,55,0.5378151260504201,0.001223432,0.00039877085,0.00019922318,0
0.8653229475021362,0.807046115398407,0.8396757245063782,0.043478241965981754,1,0,0,0,0,1,0,1,0,95,52,0.4651162790697675,0.9285486,0.0014198199,0.00013122856,0
0.8916563987731934,0.8115630149841309,0.8789576888084412,0.14285707482996438,2,0,0,0,0,1,0,1,1,68,24,0.496124031007752,0.00101001,0.0013723349,0.99102694,0
